  5.2359877E-03  5.2359877E-03  5.4020966E-05  0.9999975    
  5.7916576E-03  -1.000000      -1.000000      -1.000000    
  6.4062979E-03  -1.000000      -1.000000      -1.000000    
  7.0861671E-03  7.4048052E-03  2.7964762E-04  0.9999950    
  7.8381877E-03  -1.000000      -1.000000      -1.000000    
  8.6700153E-03  9.0689966E-03  1.1884036E-04  0.9999925    
  9.5901210E-03  1.0471975E-02  4.2108895E-04  0.9999901    
  1.0607874E-02  1.1708025E-02  1.0360880E-03  0.9999876    
  1.1733636E-02  1.2825499E-02  1.1096692E-03  0.9999851    
  1.2978870E-02  -1.000000      -1.000000      -1.000000    
  1.4356255E-02  1.5451292E-02  2.4655927E-03  0.9999784    
  1.5879814E-02  1.6961727E-02  2.8950616E-03  0.9999740    
  1.7565057E-02  1.8693466E-02  3.0517119E-03  0.9999684    
  1.9429153E-02  1.9741571E-02  5.9087449E-03  0.9999648    
  2.1491073E-02  2.2315977E-02  6.8218526E-03  0.9999550    
  2.3771819E-02  2.4937810E-02  1.2076427E-02  0.9999438    
  2.6294606E-02  2.7676987E-02  1.3063873E-02  0.9999307    
  2.9085120E-02  3.0754326E-02  1.5755648E-02  0.9999145    
  3.2171786E-02  3.3963617E-02  2.1032423E-02  0.9998956    
  3.5586014E-02  3.7786826E-02  2.7623093E-02  0.9998709    
  3.9362587E-02  4.1764669E-02  2.9877385E-02  0.9998422    
  4.3539949E-02  4.6057519E-02  4.0566560E-02  0.9998081    
  4.8160624E-02  5.0694752E-02  4.7309533E-02  0.9997675    
  5.3271689E-02  5.6248225E-02  5.8922648E-02  0.9997137    
  5.8925126E-02  6.2303685E-02  6.8910033E-02  0.9996488    
  6.5178581E-02  6.8890147E-02  9.0665765E-02  0.9995706    
  7.2095655E-02  7.6125257E-02  0.1044599      0.9994757    
  7.9746805E-02  8.4066667E-02  0.1224357      0.9993606    
  8.8209957E-02  9.3095049E-02  0.1415336      0.9992160    
  9.7571224E-02  0.1028556      0.1653599      0.9990430    
  0.1079260      0.1136775      0.1925942      0.9988311    
  0.1193797      0.1259095      0.2290765      0.9985662    
  0.1320489      0.1393533      0.2777874      0.9982439    
  0.1460625      0.1541013      0.3099667      0.9978530    
  0.1615634      0.1703936      0.3481474      0.9973755    
  0.1787094      0.1885005      0.4131792      0.9967889    
  0.1976750      0.2085035      0.4695513      0.9960725    
  0.2186532      0.2306358      0.5354990      0.9951963    
  0.2418578      0.2551740      0.6183190      0.9941226    
  0.2675250      0.2822573      0.7049854      0.9928129    
  0.2959162      0.3121824      0.8010561      0.9912145    
  0.3273202      0.3453185      0.9153107      0.9892598    
  0.3620572      0.3819867       1.042639      0.9868717    
  0.4004805      0.4225033       1.184967      0.9839600    
  0.4429816      0.4673094       1.356310      0.9804087    
  0.4899929      0.5168969       1.544179      0.9760769    
  0.5419936      0.5717483       1.758008      0.9707998    
  0.5995126      0.6323992       2.000128      0.9643799    
  0.6631359      0.6994932       2.269058      0.9565756    
  0.7335111      0.7737331       2.576896      0.9470994    
  0.8113554      0.8558507       2.916523      0.9356181    
  0.8974605      0.9466835       3.294729      0.9217374    
  0.9927040       1.047159       3.693930      0.9050007    
   1.098054       1.158273       4.120581      0.8848922    
   1.214585       1.281190       4.570096      0.8608230    
   1.343484       1.417167       5.030710      0.8321559    
   1.486061       1.567561       5.477624      0.7982283    
   1.643769       1.733917       5.889360      0.7583742    
   1.818214       1.917931       6.243464      0.7119942    
   2.011173       2.121467       6.542947      0.6586430    
   2.224609       2.346607       6.695858      0.5981462    
   2.460694       2.595644       6.784262      0.5307633    
   2.721837       2.871102       6.963867      0.4573787    
   3.010691       3.013298       7.311385      0.4203535    
